simbolo,beta,r2,vol_anual,periodo,fuente
BIMBOA,0.81,0.28,23.74,5A mensual,YF
GFNORTEO,1.06,0.52,22.84,5A mensual,YF
WALMEX,0.87,0.48,19.43,5A mensual,YF
GMEXICOB,1.5,0.52,32.15,5A mensual,YF
AMXB,0.74,0.23,24.14,5A mensual,YF
MEXTRAC,0.77,0.78,13.46,5A mensual,YF
FEMSAUBD,0.64,0.29,18.42,5A mensual,YF
GAPB,1.08,0.26,32.46,5A mensual,YF
KOFUBL,0.47,0.16,18.36,5A mensual,YF
AC,0.51,0.21,17.11,5A mensual,YF
ASURB,0.81,0.3,22.75,5A mensual,YF
OMAB,1.13,0.31,31.33,5A mensual,YF
KIMBERA,0.83,0.34,22.08,5A mensual,YF
VESTA,0.84,0.33,22.55,5A mensual,YF
BBAJIOO,0.95,0.26,28.81,5A mensual,YF
Q,0.36,0.04,27.39,5A mensual,YF
SIGMAFA,0.68,0.13,29.05,5A mensual,YF
CEMEXCPO,1.38,0.42,33.04,5A mensual,YF
RA,0.97,0.28,28.28,5A mensual,YF
GENTERA,0.86,0.22,28.17,5A mensual,YF
MEGACPO,1.14,0.29,32.69,5A mensual,YF
TLEVISACPO,1.57,0.28,45.5,5A mensual,YF
GCARSOA1,1.39,0.43,33.01,5A mensual,YF
PINFRA,0.81,0.35,21.32,5A mensual,YF
GRUMAB,0.44,0.09,22.22,5A mensual,YF
CHDRAUIB,0.7,0.17,26.17,5A mensual,YF
ALSEA,1.08,0.31,30.28,5A mensual,YF
LACOMERUBC,0.66,0.21,22.38,5A mensual,YF
CUERVO,0.37,0.03,33.42,5A mensual,YF
GFINBURO,1.42,0.45,32.58,5A mensual,YF
BOLSAA,0.83,0.27,24.73,5A mensual,YF
LABB,0.52,0.06,31.85,5A mensual,YF
VOLARA,1.56,0.19,55.52,5A mensual,YF
ORBIA,1.2,0.29,34.59,5A mensual,YF
ALPEKA,0.33,0.02,35.96,5A mensual,YF
GCC,0.76,0.27,22.67,5A mensual,YF
