simbolo,precio,anterior,fecha_hora
AC,197.75,196.68,2026-09-22T19:05:05+00:00
ALPEKA,14.88,14.78,2026-09-22T19:05:05+00:00
ALSEA,43.29,43.65,2026-09-22T19:05:05+00:00
AMXB,19.21,19.36,2026-09-22T19:05:05+00:00
ASURB,423.94,420.27,2026-09-22T19:05:05+00:00
BBAJIOO,57.06,57.39,2026-09-22T19:05:05+00:00
BIMBOA,55.6,54.44,2026-09-22T19:05:05+00:00
BOLSAA,38.77,39.02,2026-09-22T19:05:05+00:00
CEMEXCPO,17.69,17.29,2026-09-22T19:05:05+00:00
CHDRAUIB,85.48,86.54,2026-09-22T19:05:05+00:00
CUERVO,14.44,14.41,2026-09-22T19:05:05+00:00
FEMSAUBD,210.6,206.58,2026-09-22T19:05:05+00:00
GAPB,360.04,358.02,2026-09-22T19:05:05+00:00
GCARSOA1,135.31,133.26,2026-09-22T19:05:05+00:00
GCC,182.5,180.74,2026-09-22T19:05:05+00:00
GENTERA,37.13,36.83,2026-09-22T19:05:05+00:00
GFINBURO,41.62,41.28,2026-09-22T19:05:05+00:00
GFNORTEO,197.09,193.28,2026-09-22T19:05:05+00:00
GMEXICOB,223.47,214.45,2026-09-22T19:05:05+00:00
GRUMAB,235.26,234.99,2026-09-22T19:05:05+00:00
KIMBERA,38.78,38.21,2026-09-22T19:05:05+00:00
KOFUBL,193.71,191.04,2026-09-22T19:05:05+00:00
LABB,12.56,12.35,2026-09-22T19:05:05+00:00
LACOMERUBC,31.65,32.08,2026-09-22T19:05:05+00:00
LIVEPOLC1,104.47,104.74,2026-09-22T19:05:05+00:00
MEGACPO,51.6,51.98,2026-09-22T19:05:05+00:00
MEXTRAC,62.85,62.44,2026-09-22T19:05:05+00:00
OMAB,222.53,214.14,2026-09-22T19:05:05+00:00
ORBIA,19.41,19.6,2026-09-22T19:05:05+00:00
PINFRA,263.39,262.32,2026-09-22T19:05:05+00:00
Q,152.1,153.34,2026-09-22T19:05:05+00:00
RA,140.67,140.35,2026-09-22T19:05:05+00:00
SIGMAFA,18.18,18.06,2026-09-22T19:05:05+00:00
TLEVISACPO,8.53,8.71,2026-09-22T19:05:05+00:00
VESTA,56.77,57.78,2026-09-22T19:05:05+00:00
VOLARA,12.01,11.82,2026-09-22T19:05:05+00:00
WALMEX,45.3,45.18,2026-09-22T19:05:05+00:00
