fecha,MEXTRAC,IPC,AC,ALPEKA,ALSEA,AMXB,ASURB,BBAJIOO,BIMBOA,BOLSAA,CEMEXCPO,CHDRAUIB,CUERVO,FEMSAUBD,GAPB,GCARSOA1,GCC,GENTERA,GFINBURO,GFNORTEO,GMEXICOB,GRUMAB,KIMBERA,KOFUBL,LABB,LACOMERUBC,LIVEPOLC1,MEGACPO,OMAB,ORBIA,PINFRA,Q,RA,SIGMAFA,TLEVISACPO,VESTA,VOLARA,WALMEX
2021-09-10,,51521.8,121.72,,,,,,50.28,,,,,171.63,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,44.1,51307.71,123.42,22.4,40.77,18.2,370.16,34.7,56.0,41.27,14.55,32.04,44.75,174.15,214.8252,75.02,150.76,11.37,18.1,126.01,84.6935,238.6,37.27,114.08,20.9,34.4801,89.88,65.92,119.5,52.46,143.44,98.84,114.89,10.1682,47.5132,36.69,43.23,72.77
2021-09-24,43.66,51105.71,123.35,22.94,42.0,18.04,380.54,37.46,56.41,39.58,14.79,34.11,44.3,177.85,226.0775,72.01,148.11,11.35,18.84,128.8,81.5994,232.58,33.66,115.69,19.86,35.7753,90.5,65.87,120.42,50.24,145.4,94.53,116.33,10.3504,44.854,35.69,44.78,71.65
2021-10-01,43.49,51060.05,124.28,24.0,41.98,18.06,384.98,39.5,56.91,39.38,14.71,36.25,44.99,176.04,233.9682,70.04,153.45,12.05,19.5,133.28,80.0872,235.01,33.63,113.91,19.26,33.6068,84.19,61.03,120.67,52.79,141.15,95.21,118.0,10.6857,43.496,35.83,45.65,70.11
2021-10-08,43.35,51136.62,124.73,25.43,41.96,17.96,399.51,39.48,58.62,39.0,13.61,36.21,44.15,171.93,246.739,73.51,149.45,12.9,20.42,135.21,84.2159,222.16,32.68,112.74,19.11,33.862,84.69,59.19,128.79,53.23,141.0,94.14,116.2,10.7513,45.2909,35.15,44.36,70.7
2021-10-15,44.32,52798.38,126.46,25.47,45.56,18.49,402.31,41.73,57.94,40.19,14.68,38.09,43.99,171.6,253.5271,74.9,154.75,12.97,20.71,139.83,93.4782,223.9,33.14,115.23,19.58,33.9503,86.81,62.69,128.68,56.0,150.97,97.43,119.99,11.1741,46.459,36.2,40.62,70.9
2021-10-22,43.76,51889.66,124.45,23.88,46.85,17.47,403.17,39.91,56.49,40.84,13.65,38.1,43.12,168.78,248.0908,71.4,152.84,12.64,20.78,138.76,93.906,235.2,33.0,109.24,19.31,32.3214,92.8,64.0,125.91,52.33,152.88,98.7,117.12,11.1741,43.5055,37.84,38.69,73.51
2021-10-29,44.27,51309.84,125.31,22.71,43.5,18.33,415.89,38.58,61.2,39.4,13.28,40.58,47.0,169.57,249.2797,69.49,151.9,12.4,20.62,130.14,89.7574,241.02,32.54,110.67,19.79,36.2365,91.44,60.76,124.51,53.8,151.65,94.96,107.44,10.8388,39.5643,35.84,37.33,71.73
2021-11-05,44.72,51977.96,125.09,22.65,43.65,18.77,423.64,38.46,63.47,38.6,13.0,40.4,48.43,165.79,267.4963,69.82,148.93,12.25,21.47,132.92,87.698,243.23,32.24,111.44,19.17,38.1008,89.3,59.4,125.6,53.32,153.42,94.02,106.0,11.8082,40.6469,37.14,36.73,76.2
2021-11-12,44.32,51432.54,126.96,22.03,43.7,18.8,423.37,37.6,60.14,37.78,13.6,41.4,47.05,164.81,261.8492,68.3,153.45,11.77,21.15,128.72,86.6534,247.37,31.66,109.62,19.0,39.4059,88.99,58.4,133.44,51.43,155.0,96.62,109.85,11.8301,39.5168,36.79,36.25,73.72
2021-11-19,43.45,50811.3,129.37,20.7,42.16,18.26,412.44,38.28,58.1,35.0,12.91,40.39,48.75,155.01,253.1915,67.75,143.17,12.02,20.94,137.67,87.4393,249.29,31.35,106.44,18.42,37.1687,85.49,57.0,133.11,51.37,150.78,95.69,114.01,11.6406,39.6592,36.56,35.04,72.38
2021-11-26,43.05,49492.52,131.0,19.99,38.06,18.59,391.01,36.98,54.15,33.72,12.67,39.75,46.67,154.4,238.436,59.12,148.0,11.6,20.15,124.35,83.7881,258.09,32.01,100.02,17.98,36.9037,82.76,57.2,126.1,50.45,146.7,94.41,103.75,11.6624,38.7,35.74,32.47,71.6
2021-12-03,44.13,50597.29,130.24,21.8,39.03,19.4,415.74,36.6,56.69,36.4,12.9,37.38,49.7,151.43,243.1915,61.03,152.25,11.5,21.06,133.0,90.6925,254.34,32.25,107.44,18.73,35.638,86.34,63.01,127.0,51.0,156.69,95.22,99.01,11.1813,39.0229,37.04,32.89,69.94
